Rank,Name,Position,ADP,Total Points
1,Ronald Acuna Jr.,RF,1.3,113
2,Bobby Witt Jr.,SS,2,590
3,Julio Rodriguez,"CF,DH",3,282
4,Mookie Betts,"2B,SS,RF",3.7,391
5,Corbin Carroll,"LF,CF,RF",5,425
6,Freddie Freeman,1B,6.7,415
7,Kyle Tucker,"DH,RF",7,280
8,Juan Soto,"DH,LF,RF",7.3,582
9,Fernando Tatis Jr.,RF,9.3,256
10,Spencer Strider,SP,10.7,10
11,Aaron Judge,"CF,DH,LF,RF",11,630
12,Shohei Ohtani,"DH,SP",11.5,653
13,Matt Olson,1B,13.3,351
14,Trea Turner,SS,13.3,335
15,Yordan Alvarez,"LF,DH",15.3,467
16,Jose Ramirez,"3B,DH",15.7,578
17,Bryce Harper,"1B,DH",17.3,406
18,Austin Riley,3B,17.7,234
19,Corbin Burnes,SP,19.7,437
20,Rafael Devers,"3B,DH",20,365
21,Ozzie Albies,2B,21.7,236
22,Pete Alonso,1B,21.7,359
23,Francisco Lindor,SS,23,465
24,Zack Wheeler,SP,24.3,537
25,Marcus Semien,2B,25,396
26,Corey Seager,"DH,SS",25.7,343
27,Vladimir Guerrero Jr.,"1B,3B,DH",26.3,510
28,Elly De La Cruz,"3B,SS",28.3,390
29,Gunnar Henderson,"3B,SS",30,483
30,Luis Castillo,SP,31.3,352
31,Michael Harris II,CF,31.3,229
32,Jose Altuve,"2B,DH",32.7,385
33,Luis Robert Jr.,CF,33.3,141
34,Adolis Garcia,"CF,DH,RF",35.3,264
35,Bo Bichette,SS,35.3,121
36,Yoshinobu Yamamoto,SP,36,225
37,Kevin Gausman,SP,37.7,336
38,Pablo Lopez,SP,38,375
39,Zac Gallen,SP,38.3,309
40,Randy Arozarena,"CF,DH,LF",41,274
41,Tyler Glasnow,SP,41.7,345
42,George Kirby,SP,42,409
43,Adley Rutschman,"C,DH",44,326
44,CJ Abrams,SS,44.3,321
45,Tarik Skubal,SP,44.7,553
46,Manny Machado,"3B,DH",45.7,394
47,Logan Webb,SP,46.3,382
48,Mike Trout,"CF,DH",47.7,85
49,Cody Bellinger,"1B,CF,DH,RF",50.3,335
50,Aaron Nola,SP,50.7,410
51,Max Fried,SP,50.7,362
52,Josh Hader,RP,51,360
53,Framber Valdez,SP,52.3,405
54,Nolan Jones,"1B,DH,LF,RF",54.7,88
55,Edwin Diaz,RP,55.3,255
56,Royce Lewis,"3B,DH",56,173
57,Freddy Peralta,SP,58,372
58,Oneil Cruz,"CF,DH,SS",58.3,283
59,Paul Goldschmidt,"1B,DH",59,268
60,Nico Hoerner,"2B,SS",59,360
61,Jazz Chisholm Jr.,"3B,CF",60,333
62,Emmanuel Clase,RP,60,469
63,Kyle Schwarber,"LF,DH",61.7,406
64,Christian Yelich,"LF,DH",63.3,225
65,Blake Snell,SP,65.3,280
66,Alex Bregman,3B,67.7,378
67,Logan Gilbert,SP,67.7,505
68,J.T. Realmuto,C,69.3,187
69,Grayson Rodriguez,SP,71,253
70,Camilo Doval,RP,71.3,227
71,Bobby Miller,SP,72.7,11
72,Christian Walker,1B,73.3,304
73,Zach Eflin,SP,74,310
74,Raisel Iglesias,RP,74.7,373
75,Will Smith,C,75.3,305
76,Nolan Arenado,"3B,DH",76.7,323
77,Gleyber Torres,2B,76.7,298
78,Ha-Seong Kim,"2B,3B,SS",77,259
79,Jesus Luzardo,SP,81.7,95
80,Bryan Reynolds,"CF,DH,LF,RF",82,350
81,Cole Ragans,"SP,RP",82.7,443
82,William Contreras,"C,DH",83.7,416
83,Spencer Steer,"1B,2B,3B,DH,LF",85,357
84,Xander Bogaerts,"2B,DH,SS",88.7,219
85,Dylan Cease,SP,89,450
86,Justin Steele,SP,89.3,299
87,Alexis Diaz,RP,90,235
88,Triston Casas,1B,91.3,112
89,Gerrit Cole,SP,92,211
90,Nick Castellanos,"DH,RF",94,335
91,Evan Phillips,RP,94,234
92,Joe Ryan,SP,95,311
93,Evan Carter,"LF,RF",95.3,64
94,Matt McLain,"2B,SS",96,0
95,Jordan Romano,RP,96,52
96,Jhoan Duran,RP,97,245
97,Josh Lowe,"CF,DH,LF,RF",97,143
98,Ketel Marte,"2B,DH",98.3,436
99,Tanner Bibee,SP,98.3,388
100,Joe Musgrove,SP,99,199
101,David Bednar,RP,99.7,186
102,Teoscar Hernandez,"DH,LF,RF",100,355
103,George Springer,"RF,DH",100.3,287
104,Andres Munoz,RP,104.3,284
105,Seiya Suzuki,"DH,RF",105,313
